ƒ,Entrada,Subentrada,Tipo,Acepción,Marcas,Definiciones,Clase gramatical,Primera división,Nodo básico,Nodo LexiMus,Nodo intermedio,Último nodo,,Última referencia atestiguada/Primera referencia lexicográfica académica,
2,abaritonado,"abaritonado, da",adj.,1,,Dicho de la voz: Parecida a la del barítono.,Adjetivo,Música,Modificadores,Conceptos,∅,cualidades timbre,,,
3,abaritonado,"abaritonado, da",adj.,2,,Dicho de un instrumento: Que tiene un sonido de timbre semejante al de la voz del barítono.,Adjetivo,Música,Modificadores,Conceptos,∅,cualidades timbre,,,
4,abemolar,abemolar,tr.,2,Mús.,Poner bemoles.,Verbo,Música,Actividad,Conceptos,[evento],verbos de acción musical (específicos),,DRAE 1959 (Manual),
,acabe,acabe,m.,1,P. Rico,Fiesta con baile que los recolectores y demás peonajesde las haciendas de café celebran después de terminada larecolección del grano.,Sustantivo,Baile/Danza,Producto,Conceptos,Continentes,unidades no coreografiadas,,,
5,accidental,accidental,m.,6,Mús.,accidente (‖ signo para alterar un sonido).,Sustantivo,Música,Producto,Símbolos,Dimensión espacial,alturas,,,
6,accidente,accidente,m.,9,Mús.,"Cada uno de los tres signos, el sostenido, el bemol y el becuadro, con que se altera la tonalidad de un sonido.",Sustantivo,Música,Producto,Símbolos,Dimensión espacial,alturas,,DRAE 1914,
,acción,acción,f.,4,,"En el orador, el cantante y el actor, conjunto de actitudes, movimientos y gestos que acompañan la elocución o el canto.",Sustantivo,Música,Modificadores,Conceptos,∅,cualidades instrumentistas,,,
,acid,acid,adj.,1,,Perteneciente o relativo al acid house. Ritmo acid.,Adjetivo,Música,Modificadores,Conceptos,∅,cualidades polivalentes,,,
,acid,acid,m.,2,,acid house.,Sustantivo,Música,Producto,Conceptos,∅,estilos,,,
,acid house,acid house,m.,1,,"Estilo de música que surgió a finales de la década de 1980, caracterizado por su ritmo rápido y repetitivo y por el empleo de sintetizadores.",Sustantivo,Música,Producto,Conceptos,∅,estilos,,,
,acid jazz,acid jazz,m.,1,,Estilo de música que aúna el ritmo de jazz con el empleo de sintetizadores.,Sustantivo,Música,Producto,Conceptos,∅,estilos,,,
,acompañador,"acompañador, ra",adj.,1,,Que acompaña.,Adjetivo,Música,Modificadores,Conceptos,∅,cualidades [agentes]/[experimentadores] (marcados funcionalmente),,,
8,acompañamiento,acompañamiento,m.,6,Mús.,Arte de la armonía aplicado a la ejecución del bajo continuo.,Sustantivo,Música,Producto,Conceptos,Dimensión espaciotemporal,partes musicales,,,
7,acompañamiento,acompañamiento,m.,5,Mús.,Sostén o auxilio armónico de una melodía principal por medio de uno o más instrumentos o voces.,Sustantivo,Música,Producto,Conceptos,Dimensión espaciotemporal,partes musicales,,,
,acompañante,acompañante,adj.,1,,Que acompaña.,Adjetivo,Música,Modificadores,Conceptos,∅,cualidades [agentes]/[experimentadores] (marcados funcionalmente),,,
9,acompañar,acompañar,tr.,7,Mús.,Ejecutar el acompañamiento. U. t. c. prnl.,Verbo,Música,Actividad,Conceptos,[evento],verbos de acción musical (específicos),,,
,acompasado,"acompasado, da",adj.,1,,Hecho o puesto a compás.,Adjetivo,Música,Modificadores,Conceptos,∅,cualidades dimensión temporal,,,
,acompasar,acompasar,tr.,2,,Compasar,Verbo,Música,Actividad,Conceptos,[evento],verbos de acción musical (específicos),,,
,acoplar,acoplar,prnl.,9,Tecnol.,"Dicho del sonido de un altavoz: Recibirse en el mismo micrófono del que procede, con la consiguiente distorsión o emisión de pitidos.",Verbo,Música,Actividad,Conceptos,[evento],verbos de fenómenos acústicos,,,
10,acordar,acordar,tr.,6,Mús.,Disponer o templar un instrumento musical o armonizar varias voces para que no disuenen entre sí.,Verbo,Música,Actividad,Conceptos,[evento],verbos de fabricación y ajuste,,"2022, España [Riera, Carme: La paz de los sueños felices]",
11,acorde,acorde,m.,3,Mús.,Conjunto de tres o más sonidos diferentes combinados armónicamente.,Sustantivo,Música,Producto,Conceptos,Dimensión espacial,armonía,,,
12,acordeón,acordeón,m.,1,,"Instrumento musical de viento, formado por un fuelle cuyos dos extremos se cierran por sendas cajas, especie de estuches, en los que juegan cierto número de llaves o teclas que permiten seleccionar los sonidos.",Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,aerófonos,,,
13,acordeonista,acordeonista,m. y f.,1,,Persona que toca el acordeón.,Sustantivo,Música,Actividad,Participantes,[agentes] y [experimentadores],instrumentistas,,,
14,acústico,"acústico, ca",adj.,6,,Dicho de un instrumento musical: De sonido no modificado con medios electrónicos.,Adjetivo,Música,Modificadores,Conceptos,∅,cualidades timbre,,,
17,adagio2,adagio2,adv.,3,Mús.,Con movimiento lento.,Adverbio,Música,Modificadores,Conceptos,∅,cualidades verbos de acción musical (específicos),,,
16,adagio2,adagio2,m.,2,Mús.,Composición o parte de ella que se ha de ejecutar como adagio.,Sustantivo,Música,Producto,Conceptos,Continentes,unidades,,,
15,adagio2,adagio2,m.,1,Mús.,Movimiento lento.,Sustantivo,Música,Producto,Técnica y Expresión,Dimensión temporal,tempo y agógica,,,
,adaptar,adaptar,tr.,3,,"Modificar una obra científica, literaria, musical, etc., para que pueda difundirse entre público distinto de aquel al cual iba destinada o darle una forma diferente de la original.",Verbo,Música,Actividad,Conceptos,[evento],verbos de acción musical (específicos),,,
18,adufe,adufe,m.,1,,Pandero morisco.,Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,membranófonos,,,
19,adufero,"adufero, ra",m. y f.,1,,Persona que toca el adufe.,Sustantivo,Música,Actividad,Participantes,[agentes] y [experimentadores],instrumentistas,,,
20,aedo,aedo,m.,1,,Cantor épico de la antigua Grecia.,Sustantivo,Música,Actividad,Participantes,[agentes] productores,creadores e intérpretes,,,
,aeróbic,aeróbic,m.,1,,Técnica gimnástica acompañada de música y basada en el control del ritmo respiratorio.,Sustantivo,Baile/Danza,Producto,Conceptos,Continentes,unidades no coreografiadas,,,
21,aerófono,"aerófono, na",adj.,1,Mús.,Dicho de un instrumento: De viento. U. t. c. s. m.,Adjetivo/Sustantivo,Música,Modificadores/actividad,Conceptos/objetos,∅/[instrumentos] y medios materiales,cualidades familias organológicas/familias organológicas,,,
,afinación,afinación,f.,1,,Acción y efecto de afinar.,Sustantivo,Música,Actividad,Conceptos,[resultados],resultados,,,
22,afinador,"afinador, ra",m. y f.,2,,Persona que tiene por oficio afinar pianos u otros instrumentos musicales.,Sustantivo,Música,Actividad,Participantes,[agentes] no productores,constructores,,,
,afinador,"afinador, ra",m.,2,,templador (‖ llave para templar algunos instrumentos de cuerda),Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,recursos materiales,,,
23,afinar1,afinar1,intr.,7,,Cantar o tocar entonando con perfección los sonidos.,Verbo,Música,Actividad,Conceptos,[evento],verbos de acción musical (específicos),,,
24,afinar1,afinar1,tr.,4,,Poner en tono justo los instrumentos musicales con arreglo a un diapasón o acordarlos bien unos con otros.,Verbo,Música,Actividad,Conceptos,[evento],verbos de fabricación y ajuste,,,
,aflautado,"aflautado, da",adj.,1,,De sonido semejante al de la flauta.,Adjetivo,Música,Modificadores,Conceptos,∅,cualidades timbre,,,
,agarrado,agarrado,adj.,2,coloq.,Dicho de un baile: Que se ejecuta abrazando estrechamente a la pareja. U. t. c. s. m.,Adjetivo/Sustantivo,Baile/Danza,Modificadores/producto,Conceptos,∅/Continentes,cualidades unidades no coreogradiadas/unidades no coreografiadas,,,
25,agógico,"agógico, ca",adj.,1,Mús.,Perteneciente o relativo a la agógica.,Adjetivo,Música,Modificadores,Conceptos,∅,cualidades polivalentes,,,
26,agógico,"agógico, ca",f.,2,Mús.,"Conjunto de las ligeras modificaciones de tiempo, no escritas en la partitura, requeridas en la ejecución de una obra.",Sustantivo,Música,Producto,Técnica y Expresión,Dimensión temporal,tempo y agógica,,,
,agudo,"agudo, da",adj.,10,,"Dicho de un sonido: Que tiene una frecuencia alta de vibraciones, por oposición al sonido grave. U. t. c. s. m. No me gustan los agudos de esta grabación.",Adjetivo/Sustantivo,Música,Modificadores/producto,Conceptos,∅/Dimensión espacial,cualidades alturas/alturas,,,
